Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-502	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-501	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-500	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-499	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-498	2020-01-26	0	0	0	0	0	0	0	0.0						0	0.0
-497	2020-01-27	0	0	0	0	0	0	0	0.0						0	0.0
-496	2020-01-28	0	0	0	0	0	0	0	0.0						0	0.0
-495	2020-01-29	0	0	0	0	0	0	0	0.0						0	0.0
-494	2020-01-30	0	0	0	0	0	0	0	0.0						0	0.0
-493	2020-01-31	0	0	0	0	0	0	0	0.0						0	0.0
-492	2020-02-01	0	0	0	0	0	0	0	0.0						0	0.0
-491	2020-02-02	0	0	0	0	0	0	0	0.0						0	0.0
-490	2020-02-03	0	0	0	0	0	0	0	0.0						0	0.0
-489	2020-02-04	0	0	0	0	0	0	0	0.0						0	0.0
-488	2020-02-05	0	0	0	0	0	0	0	0.0						0	0.0
-487	2020-02-06	0	0	0	0	0	0	0	0.0						0	0.0
-486	2020-02-07	0	0	0	0	0	0	0	0.0						0	0.0
-485	2020-02-08	0	0	0	0	0	0	0	0.0						0	0.0
-484	2020-02-09	0	0	0	0	0	0	0	0.0						0	0.0
-483	2020-02-10	0	0	0	0	0	0	0	0.0						0	0.0
-482	2020-02-11	0	0	0	0	0	0	0	0.0						0	0.0
-481	2020-02-12	0	0	0	0	0	0	0	0.0						0	0.0
-480	2020-02-13	0	0	0	0	0	0	0	0.0						0	0.0
-479	2020-02-14	0	0	0	0	0	0	0	0.0						0	0.0
-478	2020-02-15	0	0	0	0	0	0	0	0.0						0	0.0
-477	2020-02-16	0	0	0	0	0	0	0	0.0						0	0.0
-476	2020-02-17	0	0	0	0	0	0	0	0.0						0	0.0
-475	2020-02-18	0	0	0	0	0	0	0	0.0						0	0.0
-474	2020-02-19	0	0	0	0	0	0	0	0.0						0	0.0
-473	2020-02-20	0	0	0	0	0	0	0	0.0						0	0.0
-472	2020-02-21	0	0	0	0	0	0	0	0.0						0	0.0
-471	2020-02-22	0	0	0	0	0	0	0	0.0						0	0.0
-470	2020-02-23	0	0	0	0	0	0	0	0.0						0	0.0
-469	2020-02-24	0	0	0	0	0	0	0	0.0						0	0.0
-468	2020-02-25	0	0	0	0	0	0	0	0.0						0	0.0
-467	2020-02-26	0	0	0	0	0	0	0	0.0						0	0.0
-466	2020-02-27	0	0	0	0	0	0	0	0.0						0	0.0
-465	2020-02-28	0	0	0	0	0	0	0	0.0						0	0.0
-464	2020-02-29	0	0	0	0	0	0	0	0.0						0	0.0
-463	2020-03-01	0	0	0	0	0	0	0	0.0						0	0.0
-462	2020-03-02	0	0	0	0	0	0	0	0.0						0	0.0
-461	2020-03-03	0	0	0	0	0	0	0	0.0						0	0.0
-460	2020-03-04	0	0	0	0	0	0	0	0.0						0	0.0
-459	2020-03-05	0	0	0	0	0	0	0	0.0						0	0.0
-458	2020-03-06	0	0	0	0	0	0	0	0.0						0	0.0
-457	2020-03-07	0	0	0	0	0	0	0	0.0						0	0.0
-456	2020-03-08	0	0	0	0	0	0	0	0.0						0	0.0
-455	2020-03-09	0	0	0	0	0	0	0	0.0						0	0.0
-454	2020-03-10	0	0	0	0	0	0	0	0.0						0	0.0
-453	2020-03-11	0	0	0	0	0	0	0	0.0						0	0.0
-452	2020-03-12	0	0	0	0	0	0	0	0.0						0	0.0
-451	2020-03-13	0	0	0	0	0	0	0	0.0						0	0.0
-450	2020-03-14	0	0	0	0	0	0	0	0.0						0	0.0
-449	2020-03-15	0	0	0	0	0	0	0	0.0						0	0.0
-448	2020-03-16	0	0	0	0	0	0	0	0.0						0	0.0
-447	2020-03-17	0	0	0	0	0	0	0	0.0						0	0.0
-446	2020-03-18	0	0	0	0	0	0	0	0.0						0	0.0
-445	2020-03-19	0	0	0	0	0	0	0	0.0						0	0.0
-444	2020-03-20	0	0	0	0	0	0	0	0.0						0	0.0
-443	2020-03-21	1	0	1	0	0	0	0	0.0						0	0.0
-442	2020-03-22	1	0	0	0	0	0	0	0.0						0	0.0
-441	2020-03-23	1	0	0	0	0	0	0	0.0						0	0.0
-440	2020-03-24	1	0	0	0	0	0	0	0.0						0	0.0
-439	2020-03-25	4	0	3	0	0	0	0	0.0						0	0.0
-438	2020-03-26	6	0	2	0	1	0	0	0.0						1	0.0
-437	2020-03-27	6	0	0	0	1	0	0	0.0						1	0.0
-436	2020-03-28	6	0	0	0	1	0	0	0.0						0	0.0
-435	2020-03-29	12	0	6	0	2	0	1	0.0						1	0.0
-434	2020-03-30	12	0	0	0	2	0	0	0.0						1	0.0
-433	2020-03-31	15	0	3	0	2	0	0	0.0						2	0.0
-432	2020-04-01	15	0	0	0	2	0	0	0.0						1	0.0
-431	2020-04-02	22	0	7	0	3	0	1	0.0						2	0.0
-430	2020-04-03	22	0	0	0	3	0	0	0.0						2	0.0
-429	2020-04-04	29	0	7	0	5	0	1	0.0						4	0.0
-428	2020-04-05	29	0	0	0	5	0	0	0.0						2	0.0
-427	2020-04-06	31	0	2	0	5	0	0	0.0						3	0.0
-426	2020-04-07	31	0	0	0	5	0	0	0.0						2	0.0
-425	2020-04-08	33	0	2	0	5	0	0	0.0						3	0.0
-424	2020-04-09	33	0	0	0	5	0	0	0.0						1	0.0
-423	2020-04-10	34	0	1	0	5	0	0	0.0						2	0.0
-422	2020-04-11	34	0	0	0	5	0	0	0.0						0	0.0
-421	2020-04-12	34	0	0	0	5	0	0	0.0						0	0.0
-420	2020-04-13	34	0	0	0	5	0	0	0.0						0	0.0
-419	2020-04-14	34	0	0	0	5	0	0	0.0						0	0.0
-418	2020-04-15	35	0	1	0	6	0	0	0.0						0	0.0
-417	2020-04-16	35	0	0	0	6	0	0	0.0						0	0.0
-416	2020-04-17	35	0	0	0	6	0	0	0.0						0	0.0
-415	2020-04-18	39	0	4	0	6	0	0	0.0						0	0.0
-414	2020-04-19	39	0	0	0	6	0	0	0.0						0	0.0
-413	2020-04-20	39	0	0	0	6	0	0	0.0						0	0.0
-412	2020-04-21	39	0	0	0	6	0	0	0.0						0	0.0
-411	2020-04-22	39	0	0	0	6	0	0	0.0						0	0.0
-410	2020-04-23	39	0	0	0	6	0	0	0.0						0	0.0
-409	2020-04-24	39	0	0	0	6	0	0	0.0						0	0.0
-408	2020-04-25	39	0	0	0	6	0	0	0.0						0	0.0
-407	2020-04-26	39	0	0	0	6	0	0	0.0						0	0.0
-406	2020-04-27	39	0	0	0	6	0	0	0.0						0	0.0
-405	2020-04-28	39	0	0	0	6	0	0	0.0						0	0.0
-404	2020-04-29	39	0	0	0	6	0	0	0.0						0	0.0
-403	2020-04-30	39	0	0	0	6	0	0	0.0						0	0.0
-402	2020-05-01	39	0	0	0	6	0	0	0.0						0	0.0
-401	2020-05-02	39	0	0	0	6	0	0	0.0						0	0.0
-400	2020-05-03	39	0	0	0	6	0	0	0.0						0	0.0
-399	2020-05-04	39	0	0	0	6	0	0	0.0						0	0.0
-398	2020-05-05	39	0	0	0	6	0	0	0.0						0	0.0
-397	2020-05-06	39	0	0	0	6	0	0	0.0						0	0.0
-396	2020-05-07	39	0	0	0	6	0	0	0.0						0	0.0
-395	2020-05-08	39	0	0	0	6	0	0	0.0						0	0.0
-394	2020-05-09	39	0	0	0	6	0	0	0.0						0	0.0
-393	2020-05-10	39	0	0	0	6	0	0	0.0						0	0.0
-392	2020-05-11	39	0	0	0	6	0	0	0.0						0	0.0
-391	2020-05-12	39	0	0	0	6	0	0	0.0						0	0.0
-390	2020-05-13	39	0	0	0	6	0	0	0.0						0	0.0
-389	2020-05-14	39	0	0	0	6	0	0	0.0						0	0.0
-388	2020-05-15	39	0	0	0	6	0	0	0.0						0	0.0
-387	2020-05-16	39	0	0	0	6	0	0	0.0						0	0.0
-386	2020-05-17	39	0	0	0	6	0	0	0.0						0	0.0
-385	2020-05-18	39	0	0	0	6	0	0	0.0						0	0.0
-384	2020-05-19	39	0	0	0	6	0	0	0.0						0	0.0
-383	2020-05-20	39	0	0	0	6	0	0	0.0						0	0.0
-382	2020-05-21	39	0	0	0	6	0	0	0.0						0	0.0
-381	2020-05-22	39	0	0	0	6	0	0	0.0						0	0.0
-380	2020-05-23	39	0	0	0	6	0	0	0.0						0	0.0
-379	2020-05-24	39	0	0	0	6	0	0	0.0						0	0.0
-378	2020-05-25	39	0	0	0	6	0	0	0.0						0	0.0
-377	2020-05-26	39	0	0	0	6	0	0	0.0						0	0.0
-376	2020-05-27	39	0	0	0	6	0	0	0.0						0	0.0
-375	2020-05-28	39	0	0	0	6	0	0	0.0						0	0.0
-374	2020-05-29	39	0	0	0	6	0	0	0.0						0	0.0
-373	2020-05-30	39	0	0	0	6	0	0	0.0						0	0.0
-372	2020-05-31	39	0	0	0	6	0	0	0.0						0	0.0
-371	2020-06-01	39	0	0	0	6	0	0	0.0						0	0.0
-370	2020-06-02	39	0	0	0	6	0	0	0.0						0	0.0
-369	2020-06-03	39	0	0	0	6	0	0	0.0						0	0.0
-368	2020-06-04	39	0	0	0	6	0	0	0.0						0	0.0
-367	2020-06-05	39	0	0	0	6	0	0	0.0						0	0.0
-366	2020-06-06	39	0	0	0	6	0	0	0.0						0	0.0
-365	2020-06-07	39	0	0	0	6	0	0	0.0						0	0.0
-364	2020-06-08	39	0	0	0	6	0	0	0.0						0	0.0
-363	2020-06-09	39	0	0	0	6	0	0	0.0						0	0.0
-362	2020-06-10	41	0	2	0	7	0	0	0.0						0	0.0
-361	2020-06-11	41	0	0	0	7	0	0	0.0						0	0.0
-360	2020-06-12	41	0	0	0	7	0	0	0.0						0	0.0
-359	2020-06-13	65	0	24	0	11	0	4	0.0						4	0.0
-358	2020-06-14	96	0	31	0	16	0	5	0.0						9	0.0
-357	2020-06-15	109	0	13	0	18	0	2	0.0						12	0.0
-356	2020-06-16	121	0	12	0	21	0	2	0.0						14	0.0
-355	2020-06-17	131	0	10	0	22	0	1	0.0						15	0.0
-354	2020-06-18	142	0	11	0	24	0	1	0.0						17	0.0
-353	2020-06-19	142	0	0	0	24	0	0	0.0						17	0.0
-352	2020-06-20	143	0	1	0	24	0	0	0.0						13	0.0
-351	2020-06-21	143	0	0	0	24	0	0	0.0						8	0.0
-350	2020-06-22	143	0	0	0	24	0	0	0.0						5	0.0
-349	2020-06-23	143	0	0	0	24	0	0	0.0						3	0.0
-348	2020-06-24	144	0	1	0	25	0	0	0.0						2	0.0
-347	2020-06-25	144	0	0	0	25	0	0	0.0						0	0.0
-346	2020-06-26	167	0	23	0	29	0	4	0.0						4	0.0
-345	2020-06-27	191	0	24	0	33	0	4	0.0						8	0.0
-344	2020-06-28	191	0	0	0	33	0	0	0.0						8	0.0
-343	2020-06-29	191	0	0	0	33	0	0	0.0						8	0.0
-342	2020-06-30	203	0	12	0	35	0	2	0.0						10	0.0
-341	2020-07-01	203	0	0	0	35	0	0	0.0						10	0.0
-340	2020-07-02	215	0	12	0	37	0	2	0.0						12	0.0
-339	2020-07-03	215	0	0	0	37	0	0	0.0						8	0.0
-338	2020-07-04	215	0	0	0	37	0	0	0.0						4	0.0
-337	2020-07-05	215	0	0	0	37	0	0	0.0						4	0.0
-336	2020-07-06	215	0	0	0	37	0	0	0.0						4	0.0
-335	2020-07-07	215	0	0	0	37	0	0	0.0						2	0.0
-334	2020-07-08	215	0	0	0	37	0	0	0.0						2	0.0
-333	2020-07-09	232	0	17	0	40	0	2	0.0						2	0.0
-332	2020-07-10	232	0	0	0	40	0	0	0.0						2	0.0
-331	2020-07-11	232	0	0	0	40	0	0	0.0						2	0.0
-330	2020-07-12	232	0	0	0	40	0	0	0.0						2	0.0
-329	2020-07-13	232	0	0	0	40	0	0	0.0						2	0.0
-328	2020-07-14	232	0	0	0	40	0	0	0.0						2	0.0
-327	2020-07-15	232	0	0	0	40	0	0	0.0						2	0.0
-326	2020-07-16	251	0	19	0	43	0	3	0.0						3	0.0
-325	2020-07-17	251	0	0	0	43	0	0	0.0						3	0.0
-324	2020-07-18	251	0	0	0	43	0	0	0.0						3	0.0
-323	2020-07-19	251	0	0	0	43	0	0	0.0						3	0.0
-322	2020-07-20	251	0	0	0	43	0	0	0.0						3	0.0
-321	2020-07-21	251	0	0	0	43	0	0	0.0						3	0.0
-320	2020-07-22	251	0	0	0	43	0	0	0.0						3	0.0
-319	2020-07-23	261	0	10	0	45	0	1	0.0						1	0.0
-318	2020-07-24	261	0	0	0	45	0	0	0.0						1	0.0
-317	2020-07-25	263	0	2	0	45	0	0	0.0						2	0.0
-316	2020-07-26	263	0	0	0	45	0	0	0.0						2	0.0
-315	2020-07-27	265	0	2	0	46	0	0	0.0						2	0.0
-314	2020-07-28	265	0	0	0	46	0	0	0.0						2	0.0
-313	2020-07-29	265	0	0	0	46	0	0	0.0						2	0.0
-312	2020-07-30	279	0	14	0	48	0	2	0.0						3	0.0
-311	2020-07-31	279	0	0	0	48	0	0	0.0						3	0.0
-310	2020-08-01	279	0	0	0	48	0	0	0.0						2	0.0
-309	2020-08-02	279	0	0	0	48	0	0	0.0						2	0.0
-308	2020-08-03	282	0	3	0	49	0	0	0.0						2	0.0
-307	2020-08-04	282	0	0	0	49	0	0	0.0						2	0.0
-306	2020-08-05	282	0	0	0	49	0	0	0.0						2	0.0
-305	2020-08-06	282	0	0	0	49	0	0	0.0						0	0.0
-304	2020-08-07	285	0	3	0	49	0	0	0.0						1	0.0
-303	2020-08-08	285	0	0	0	49	0	0	0.0						1	0.0
-302	2020-08-09	285	0	0	0	49	0	0	0.0						1	0.0
-301	2020-08-10	285	0	0	0	49	0	0	0.0						0	0.0
-300	2020-08-11	285	0	0	0	49	0	0	0.0						0	0.0
-299	2020-08-12	285	0	0	0	49	0	0	0.0						0	0.0
-298	2020-08-13	285	0	0	0	49	0	0	0.0						0	0.0
-297	2020-08-14	285	0	0	0	49	0	0	0.0						0	0.0
-296	2020-08-15	285	0	0	0	49	0	0	0.0						0	0.0
-295	2020-08-16	285	0	0	0	49	0	0	0.0						0	0.0
-294	2020-08-17	285	0	0	0	49	0	0	0.0						0	0.0
-293	2020-08-18	304	0	19	0	52	0	3	0.0						3	0.0
-292	2020-08-19	304	0	0	0	52	0	0	0.0						3	0.0
-291	2020-08-20	306	0	2	0	53	0	0	0.0						3	0.0
-290	2020-08-21	306	0	0	0	53	0	0	0.0						3	0.0
-289	2020-08-22	306	0	0	0	53	0	0	0.0						3	0.0
-288	2020-08-23	306	0	0	0	53	0	0	0.0						3	0.0
-287	2020-08-24	306	0	0	0	53	0	0	0.0						3	0.0
-286	2020-08-25	315	0	9	0	54	0	1	0.0						1	0.0
-285	2020-08-26	315	0	0	0	54	0	0	0.0						1	0.0
-284	2020-08-27	317	0	2	0	55	0	0	0.0						1	0.0
-283	2020-08-28	317	0	0	0	55	0	0	0.0						1	0.0
-282	2020-08-29	318	0	1	0	55	0	0	0.0						2	0.0
-281	2020-08-30	318	0	0	0	55	0	0	0.0						2	0.0
-280	2020-08-31	319	0	1	0	55	0	0	0.0						2	0.0
