Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Days_Since_2nd_Death
2020-01-22	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-23	0	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-24	2	0	2	0	0	0	0	0	0	0.0	0	0.0			
2020-01-25	3	0	1	0	0	0	0	0	0	0.0	0	0.0			
2020-01-26	3	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-27	3	0	0	0	0	0	0	0	0	0.0	0	0.0			
2020-01-28	4	0	1	0	0	0	0	0	0	0.0	0	0.0			
2020-01-29	5	0	1	0	5	0	0	0	0	0.0	0	0.0			
2020-01-30	5	0	0	0	5	0	0	0	0	0.0	0	0.0			
2020-01-31	5	0	0	0	3	0	0	0	0	0.0	0	0.0			
2020-02-01	6	0	1	0	3	0	0	0	0	0.0	0	0.0			
2020-02-02	6	0	0	0	3	0	0	0	0	0.0	0	0.0			
2020-02-03	6	0	0	0	3	0	0	0	0	0.0	0	0.0			
2020-02-04	6	0	0	0	2	0	0	0	0	0.0	0	0.0			
2020-02-05	6	0	0	0	1	0	0	0	0	0.0	0	0.0			
2020-02-06	6	0	0	0	1	0	0	0	0	0.0	0	0.0			
2020-02-07	6	0	0	0	1	0	0	0	0	0.0	0	0.0			
2020-02-08	11	0	5	0	5	0	0	0	0	0.0	0	0.0			
2020-02-09	11	0	0	0	5	0	0	0	0	0.0	0	0.0			
2020-02-10	11	0	0	0	5	0	0	0	0	0.0	0	0.0			
2020-02-11	11	0	0	0	5	0	0	0	0	0.0	0	0.0			
2020-02-12	11	0	0	0	5	0	0	0	0	0.0	0	0.0			
2020-02-13	11	0	0	0	5	0	0	0	0	0.0	0	0.0			
2020-02-14	11	0	0	0	5	0	0	0	0	0.0	0	0.0			
2020-02-15	12	1	1	1	1	1	0	0	0	0.015	0	0.01			
2020-02-16	12	1	0	0	1	1	0	0	0	0.0	0	0.01			
2020-02-17	12	1	0	0	1	1	0	0	0	0.0	0	0.01			
2020-02-18	12	1	0	0	1	1	0	0	0	0.0	0	0.01			
2020-02-19	12	1	0	0	1	1	0	0	0	0.0	0	0.01			
2020-02-20	12	1	0	0	1	1	0	0	0	0.0	0	0.01			
2020-02-21	12	1	0	0	1	1	0	0	0	0.0	0	0.01			
2020-02-22	12	1	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-23	12	1	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-24	12	1	0	0	0	0	0	0	0	0.0	0	0.0			
2020-02-25	14	1	2	0	2	0	0	0	0	0.0	0	0.0			
2020-02-26	18	2	4	1	6	1	0	0	0	0.015	0	0.01			0
2020-02-27	38	2	20	0	26	1	0	0	0	0.0	0	0.01			1
2020-02-28	57	2	19	0	45	1	0	0	0	0.0	0	0.01			2
2020-02-29	100	2	43	0	88	1	1	0	0	0.0	1	0.01			3
2020-03-01	130	2	30	0	118	1	1	0	0	0.0	1	0.01			4
2020-03-02	191	3	61	1	179	2	2	0	0	0.015	2	0.03			5
2020-03-03	212	4	21	1	198	3	3	0	0	0.015	2	0.04			6
2020-03-04	288	4	76	0	270	2	4	0	1	0.0	4	0.03			7
2020-03-05	426	7	138	3	388	5	6	0	2	0.045	5	0.07			8
2020-03-06	616	9	190	2	559	7	9	0	2	0.03	8	0.1			9
2020-03-07	948	16	332	7	848	14	14	0	4	0.104	12	0.21			10
