Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Last_Week_Per_100000	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	Cases_Last_Week_Doubling_Time
-311	2020-02-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-310	2020-02-29	3	0	3	0	0	0	0	0	0	0.0	0	0.0	0.0			
-309	2020-03-01	8	0	5	0	0	0	1	0	0	0.0	0	0.0	0.0			
-308	2020-03-02	10	0	2	0	0	0	1	0	0	0.0	0	0.0	0.0			
-307	2020-03-03	12	0	2	0	0	0	1	0	0	0.0	0	0.0	0.0			
-306	2020-03-04	12	0	0	0	0	0	1	0	0	0.0	0	0.0	0.0			
-305	2020-03-05	14	0	2	0	0	0	2	0	0	0.0	0	0.0	0.0			
-304	2020-03-06	16	0	2	0	16	0	2	0	0	0.0	2	0.0	0.2			
-303	2020-03-07	17	0	1	0	14	0	2	0	0	0.0	2	0.0	0.2			
-302	2020-03-08	19	0	2	0	11	0	3	0	0	0.0	1	0.0	0.1			
-301	2020-03-09	26	0	7	0	16	0	4	0	1	0.0	2	0.0	0.2			
-300	2020-03-10	35	0	9	0	23	0	5	0	1	0.0	3	0.0	0.3			
-299	2020-03-11	48	0	13	0	36	0	7	0	2	0.0	5	0.0	0.5			
-298	2020-03-12	99	0	51	0	85	0	15	0	8	0.0	13	0.0	1.3			
-297	2020-03-13	148	0	49	0	132	0	23	0	7	0.0	21	0.0	2.1			1.2
-296	2020-03-14	203	0	55	0	186	0	32	0	8	0.0	29	0.0	2.9			1.4
-295	2020-03-15	286	0	83	0	267	0	45	0	13	0.0	42	0.0	4.2			1.6
-294	2020-03-16	342	0	56	0	316	0	54	0	8	0.0	50	0.0	5.0			1.9
-293	2020-03-17	373	0	31	0	338	0	59	0	4	0.0	53	0.0	5.3			2.4
-292	2020-03-18	432	0	59	0	384	0	68	0	9	0.0	61	0.0	6.1			2.8
-291	2020-03-19	682	0	250	0	583	0	108	0	39	0.0	93	0.0	9.3			2.7
-290	2020-03-20	813	1	131	1	665	1	129	0	20	0.16	106	0.16	10.6			2.9
-289	2020-03-21	1080	2	267	1	877	2	172	0	42	0.16	139	0.32	13.9			2.9
-288	2020-03-22	1175	2	95	0	889	2	187	0	15	0.0	141	0.32	14.1			3.3
-287	2020-03-23	1347	3	172	1	1005	3	214	0	27	0.16	160	0.48	16.0			3.7
-286	2020-03-24	1620	4	273	1	1247	4	258	0	43	0.16	199	0.64	19.9			3.8
-285	2020-03-25	1754	4	134	0	1322	4	279	0	21	0.0	210	0.64	21.0			4.2
-284	2020-03-26	2157	6	403	2	1475	6	344	0	64	0.319	235	0.96	23.5			4.5
-283	2020-03-27	2323	7	166	1	1510	6	370	1	26	0.16	240	0.96	24.0			5.1
-282	2020-03-28	2604	9	281	2	1524	7	415	1	44	0.319	243	1.12	24.3			5.8
-281	2020-03-29	2605	9	1	0	1430	7	415	1	0	0.0	228	1.12	22.8			6.9
-280	2020-03-30	3091	13	486	4	1744	10	493	2	77	0.638	278	1.6	27.8			7.5
-279	2020-03-31	3283	17	192	4	1663	13	523	2	30	0.638	265	2.07	26.5			8.7
-278	2020-04-01	3445	21	162	4	1691	17	549	3	25	0.638	269	2.71	26.9			10.5
-277	2020-04-02	3707	27	262	6	1550	21	591	4	41	0.958	247	3.35	24.7			13.2
-276	2020-04-03	3993	33	286	6	1670	26	637	5	45	0.958	266	4.15	26.6			16.4
-275	2020-04-04	4279	42	286	9	1675	33	682	6	45	1.436	267	5.27	26.7			20.0
-274	2020-04-05	4575	56	296	14	1970	47	730	8	47	2.234	314	7.5	31.4			22.0
-273	2020-04-06	4674	61	99	5	1583	48	745	9	15	0.798	252	7.66	25.2			33.4
-272	2020-04-07	4837	73	163	12	1554	56	771	11	26	1.915	248	8.94	24.8			51.4
-271	2020-04-08	4965	84	128	11	1520	63	792	13	20	1.756	242	10.05	24.2			106.5
-270	2020-04-09	5242	100	277	16	1535	73	836	15	44	2.554	244	11.65	24.4			
-269	2020-04-10	5694	111	452	11	1701	78	908	17	72	1.756	271	12.45	27.1			
-268	2020-04-11	5808	120	114	9	1529	78	926	19	18	1.436	244	12.45	24.4			
-267	2020-04-12	5859	123	51	3	1284	67	935	19	8	0.479	204	10.69	20.4			-58.1
-266	2020-04-13	6114	135	255	12	1440	74	975	21	40	1.915	229	11.81	22.9			-54.7
-265	2020-04-14	6183	147	69	12	1346	74	986	23	11	1.915	214	11.81	21.4			-43.3
-264	2020-04-15	6347	173	164	26	1382	89	1012	27	26	4.15	220	14.2	22.0			-39.8
-263	2020-04-16	6470	187	123	14	1228	87	1032	29	19	2.234	195	13.88	19.5			-28.9
-262	2020-04-17	6705	197	235	10	1011	86	1070	31	37	1.596	161	13.73	16.1			-22.2
-261	2020-04-18	6916	212	211	15	1108	92	1103	33	33	2.394	176	14.68	17.6			-19.5
-260	2020-04-19	7108	230	192	18	1249	107	1134	36	30	2.873	199	17.08	19.9			-24.7
-259	2020-04-20	7177	240	69	10	1063	105	1145	38	11	1.596	169	16.76	16.9			-22.3
-258	2020-04-21	7231	251	54	11	1048	104	1154	40	8	1.756	167	16.6	16.7			-20.5
-257	2020-04-22	7380	265	149	14	1033	92	1177	42	23	2.234	164	14.68	16.4			-19.0
