Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Last_Week_Per_100000	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	Cases_Last_Week_Doubling_Time
-497	2020-02-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-496	2020-02-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-495	2020-03-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-494	2020-03-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-493	2020-03-03	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-492	2020-03-04	4	0	4	0	0	0	2	0	2	0.0	0	0.0	0.0			
-491	2020-03-05	4	0	0	0	0	0	2	0	0	0.0	0	0.0	0.0			
-490	2020-03-06	5	0	1	0	5	0	3	0	0	0.0	3	0.0	0.3			
-489	2020-03-07	5	0	0	0	5	0	3	0	0	0.0	3	0.0	0.3			
-488	2020-03-08	8	0	3	0	8	0	4	0	1	0.0	4	0.0	0.4			
-487	2020-03-09	10	0	2	0	10	0	6	0	1	0.0	6	0.0	0.6			
-486	2020-03-10	13	0	3	0	13	0	8	0	1	0.0	8	0.0	0.8			
-485	2020-03-11	17	0	4	0	13	0	10	0	2	0.0	8	0.0	0.8			
-484	2020-03-12	23	0	6	0	19	0	14	0	3	0.0	11	0.0	1.1			
-483	2020-03-13	33	0	10	0	28	0	20	0	6	0.0	17	0.0	1.7			
-482	2020-03-14	45	0	12	0	40	0	27	0	7	0.0	24	0.0	2.4			
-481	2020-03-15	50	0	5	0	42	0	31	0	3	0.0	26	0.0	2.6			
-480	2020-03-16	51	0	1	0	41	0	31	0	0	0.0	25	0.0	2.5			
-479	2020-03-17	45	0	0	0	32	0	27	0	0	0.0	19	0.0	1.9			
-478	2020-03-18	56	0	11	0	39	0	34	0	6	0.0	24	0.0	2.4			
-477	2020-03-19	98	0	42	0	75	0	60	0	26	0.0	46	0.0	4.6			
-476	2020-03-20	131	0	33	0	98	0	81	0	20	0.0	60	0.0	6.0			
-475	2020-03-21	165	0	34	0	120	0	102	0	21	0.0	74	0.0	7.4			
-474	2020-03-22	172	0	7	0	122	0	106	0	4	0.0	75	0.0	7.5			
-473	2020-03-23	172	0	0	0	121	0	106	0	0	0.0	75	0.0	7.5			
-472	2020-03-24	199	0	27	0	154	0	123	0	16	0.0	95	0.0	9.5			
-471	2020-03-25	218	0	19	0	162	0	135	0	11	0.0	100	0.0	10.0			
-470	2020-03-26	244	0	26	0	146	0	151	0	16	0.0	90	0.0	9.0			
-469	2020-03-27	259	0	15	0	128	0	160	0	9	0.0	79	0.0	7.9			
-468	2020-03-28	308	0	49	0	143	0	191	0	30	0.0	88	0.0	8.8			
