Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Last_Week_Per_100000	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	Cases_Last_Week_Doubling_Time
-282	2020-02-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-281	2020-02-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-280	2020-03-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-279	2020-03-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-278	2020-03-03	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-277	2020-03-04	4	0	4	0	0	0	2	0	2	0.0	0	0.0	0.0			
-276	2020-03-05	4	0	0	0	0	0	2	0	0	0.0	0	0.0	0.0			
-275	2020-03-06	5	0	1	0	5	0	3	0	0	0.0	3	0.0	0.3			
-274	2020-03-07	5	0	0	0	5	0	3	0	0	0.0	3	0.0	0.3			
-273	2020-03-08	8	0	3	0	8	0	4	0	1	0.0	4	0.0	0.4			
-272	2020-03-09	10	0	2	0	10	0	6	0	1	0.0	6	0.0	0.6			
-271	2020-03-10	13	0	3	0	13	0	8	0	1	0.0	8	0.0	0.8			
-270	2020-03-11	17	0	4	0	13	0	10	0	2	0.0	8	0.0	0.8			
-269	2020-03-12	23	0	6	0	19	0	14	0	3	0.0	11	0.0	1.1			
-268	2020-03-13	33	0	10	0	28	0	20	0	6	0.0	17	0.0	1.7			2.3
-267	2020-03-14	45	0	12	0	40	0	27	0	7	0.0	24	0.0	2.4			2.2
-266	2020-03-15	50	0	5	0	42	0	31	0	3	0.0	26	0.0	2.6			2.5
-265	2020-03-16	51	0	1	0	41	0	31	0	0	0.0	25	0.0	2.5			3.1
-264	2020-03-17	45	0	0	0	32	0	27	0	0	0.0	19	0.0	1.9			4.1
-263	2020-03-18	56	0	11	0	39	0	34	0	6	0.0	24	0.0	2.4			4.8
-262	2020-03-19	98	0	42	0	75	0	60	0	26	0.0	46	0.0	4.6			4.1
-261	2020-03-20	131	0	33	0	98	0	81	0	20	0.0	60	0.0	6.0			3.5
-260	2020-03-21	165	0	34	0	120	0	102	0	21	0.0	74	0.0	7.4			3.2
-259	2020-03-22	172	0	7	0	122	0	106	0	4	0.0	75	0.0	7.5			3.5
-258	2020-03-23	172	0	0	0	121	0	106	0	0	0.0	75	0.0	7.5			4.1
-257	2020-03-24	199	0	27	0	154	0	123	0	16	0.0	95	0.0	9.5			4.2
-256	2020-03-25	218	0	19	0	162	0	135	0	11	0.0	100	0.0	10.0			4.6
-255	2020-03-26	244	0	26	0	146	0	151	0	16	0.0	90	0.0	9.0			5.5
-254	2020-03-27	259	0	15	0	128	0	160	0	9	0.0	79	0.0	7.9			6.8
-253	2020-03-28	308	0	49	0	143	0	191	0	30	0.0	88	0.0	8.8			7.9
-252	2020-03-29	348	1	40	1	176	1	216	0	24	0.621	109	0.62	10.9			8.3
-251	2020-03-30	356	1	8	0	184	1	221	0	4	0.0	114	0.62	11.4			9.1
-250	2020-03-31	366	1	10	0	167	1	227	0	6	0.0	103	0.62	10.3			11.6
-249	2020-04-01	406	3	40	2	188	3	252	1	24	1.242	116	1.86	11.6			14.4
-248	2020-04-02	438	3	32	0	194	3	272	1	19	0.0	120	1.86	12.0			16.5
-247	2020-04-03	468	4	30	1	209	4	290	2	18	0.621	129	2.48	12.9			17.2
-246	2020-04-04	501	5	33	1	193	5	311	3	20	0.621	119	3.11	11.9			18.8
-245	2020-04-05	523	5	22	0	175	4	324	3	13	0.0	108	2.48	10.8			23.7
-244	2020-04-06	528	6	5	1	172	5	328	3	3	0.621	106	3.11	10.6			33.7
-243	2020-04-07	531	8	3	2	165	7	329	4	1	1.242	102	4.35	10.2			43.4
-242	2020-04-08	555	11	24	3	149	8	344	6	14	1.864	92	4.97	9.2			67.1
-241	2020-04-09	572	11	17	0	134	8	355	6	10	0.0	83	4.97	8.3			
-240	2020-04-10	586	11	14	0	118	7	364	6	8	0.0	73	4.35	7.3			-46.6
-239	2020-04-11	601	11	15	0	100	6	373	6	9	0.0	62	3.73	6.2			-22.5
-238	2020-04-12	605	11	4	0	82	6	375	6	2	0.0	50	3.73	5.0			-15.9
-237	2020-04-13	618	11	13	0	90	5	383	6	8	0.0	55	3.11	5.5			-13.1
-236	2020-04-14	619	11	1	0	88	3	384	6	0	0.0	54	1.86	5.4			-10.5
-235	2020-04-15	624	11	5	0	69	0	387	6	3	0.0	42	0.0	4.2			-8.9
-234	2020-04-16	634	13	10	2	62	2	393	8	6	1.242	38	1.24	3.8			-7.8
-233	2020-04-17	634	13	0	0	48	2	393	8	0	0.0	29	1.24	2.9			-7.3
-232	2020-04-18	645	14	11	1	44	3	400	8	6	0.621	27	1.86	2.7			-6.9
-231	2020-04-19	651	15	6	1	46	4	404	9	3	0.621	28	2.48	2.8			-6.4
-230	2020-04-20	653	15	2	0	35	4	405	9	1	0.0	21	2.48	2.1			-6.1
-229	2020-04-21	655	15	2	0	36	4	406	9	1	0.0	22	2.48	2.2			-6.1
-228	2020-04-22	656	15	1	0	32	4	407	9	0	0.0	19	2.48	1.9			-6.1
-227	2020-04-23	659	15	3	0	25	2	409	9	1	0.0	15	1.24	1.5			-6.2
-226	2020-04-24	661	16	2	1	27	3	410	9	1	0.621	16	1.86	1.6			-6.3
-225	2020-04-25	667	16	6	0	22	2	414	9	3	0.0	13	1.24	1.3			
-224	2020-04-26	673	16	6	0	22	1	418	9	3	0.0	13	0.62	1.3	0.9	65.6	
-223	2020-04-27	674	16	1	0	21	1	418	9	0	0.0	13	0.62	1.3	0.8	64.3	
-222	2020-04-28	675	17	1	1	20	2	419	10	0	0.621	12	1.24	1.2	0.9	63.9	
-221	2020-04-29	687	17	12	0	31	2	426	10	7	0.0	19	1.24	1.9	0.7	67.1	
-220	2020-04-30	690	17	3	0	31	2	428	10	1	0.0	19	1.24	1.9	0.9	68.0	-10.9
-219	2020-05-01	693	18	3	1	32	2	430	11	1	0.621	19	1.24	1.9	0.7	62.6	
-218	2020-05-02	695	18	2	0	28	2	431	11	1	0.0	17	1.24	1.7	0.5	63.5	
-217	2020-05-03	698	18	3	0	25	2	433	11	1	0.0	15	1.24	1.5	0.5	63.1	
-216	2020-05-04	699	18	1	0	25	2	434	11	0	0.0	15	1.24	1.5	0.5	61.2	
-215	2020-05-05	703	19	4	1	28	2	436	11	2	0.621	17	1.24	1.7	0.5	64.2	
-214	2020-05-06	711	19	8	0	24	2	441	11	4	0.0	14	1.24	1.4	0.6	68.4	
-213	2020-05-07	715	19	4	0	25	2	444	11	2	0.0	15	1.24	1.5	0.5	67.7	
-212	2020-05-08	718	19	3	0	25	1	446	11	1	0.0	15	0.62	1.5	0.5	70.2	
-211	2020-05-09	722	19	4	0	27	1	448	11	2	0.0	16	0.62	1.6	0.5	69.3	
-210	2020-05-10	726	19	4	0	28	1	451	11	2	0.0	17	0.62	1.7	0.4	67.0	
-209	2020-05-11	728	19	2	0	29	1	452	11	1	0.0	18	0.62	1.8	0.4	63.6	
-208	2020-05-12	729	20	1	1	26	1	452	12	0	0.621	16	0.62	1.6	0.5	67.9	
-207	2020-05-13	736	20	7	0	25	1	457	12	4	0.0	15	0.62	1.5	0.6	69.1	
-206	2020-05-14	739	20	3	0	24	1	459	12	1	0.0	14	0.62	1.4	0.5	70.5	
